block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
222;lbm;lbm_phys.c:51-321;8.7;0.01;0;0.02;0.05;18.027311325073;6;
256;lbm;lbm_struct.h:116-116,lbm_phys.c:350-350;3.38;0.01;0;0.01;0.01;1.5008583068848;6;
250;lbm;lbm_struct.h:116-116,lbm_phys.c:350-350;2.42;0;0;0.01;0.01;0.64150023460388;5;
240;lbm;lbm_struct.h:116-116,lbm_phys.c:350-350;2.42;0;0.01;0.01;0.02;11.111681938171;2;
243;lbm;lbm_struct.h:116-116,lbm_phys.c:350-350;1.93;0;0.01;0.01;0.01;3.203245639801;3;
253;lbm;lbm_struct.h:116-116,lbm_phys.c:350-350;0.97;0;0;0;0.01;0.74826216697693;2;
247;lbm;lbm_struct.h:116-116,lbm_phys.c:350-350;0.97;0;0;0;0.01;0.84179443120956;2;
613;lbm;lbm_struct.h:116-116,lbm_comm.c:234-235;0.48;0;0;0;0;0;1;
150;lbm;lbm_phys.c:85-85;0.48;0;0.01;0.01;0.01;0;1;
251;lbm;lbm_phys.c:346-349;0.48;0;0.01;0.01;0.01;0;1;
262;lbm;lbm_struct.h:116-116,lbm_phys.c:350-350;0.48;0;0.01;0.01;0.01;0;1;
313;lbm;lbm_init.c:84-85,lbm_struct.h:116-116;0.48;0;0.01;0.01;0.01;0;1;
601;lbm;lbm_struct.h:116-116,lbm_comm.c:230-230;0.48;0;0.01;0.01;0.01;0;1;
233;lbm;lbm_phys.c:346-349;0.48;0;0;0;0;0;1;
248;lbm;lbm_phys.c:349-349;0.48;0;0;0;0;0;1;
236;lbm;lbm_struct.h:116-116,lbm_phys.c:350-350;0.48;0;0;0;0;0;1;
259;lbm;lbm_struct.h:116-116,lbm_phys.c:350-350;0.48;0;0;0;0;0;1;
