Node;Process;Thread;System (%);Binary (%);MPI (%);Nb Cycle Events;OMP (%);Others (%);String (%);Memory (%);IO (%);Time (s);Math (%);Pthread (%);
_ALL;_ALL;_ALL;16.43;25.61;56.04;207;0;1.45;0;0.48;0;0.15;0;0;
anism-VivoBook-ASUSLaptop-X515EA-X515EA;_ALL;_ALL;16.43;25.61;56.04;207;0;1.45;0;0.48;0;0.15;0;0;
anism-VivoBook-ASUSLaptop-X515EA-X515EA;6805;_ALL;14.81;3.7;81.48;27;0;0;0;0;0;0.13;0;0;
anism-VivoBook-ASUSLaptop-X515EA-X515EA;6805;6805;14.81;3.7;81.48;27;0;0;0;0;0;0.13;0;0;
anism-VivoBook-ASUSLaptop-X515EA-X515EA;6792;_ALL;16.67;16.67;66.67;30;0;0;0;0;0;0.15;0;0;
anism-VivoBook-ASUSLaptop-X515EA-X515EA;6792;6792;16.67;16.67;66.67;30;0;0;0;0;0;0.15;0;0;
anism-VivoBook-ASUSLaptop-X515EA-X515EA;6828;_ALL;14.81;18.52;62.96;27;0;3.7;0;0;0;0.14;0;0;
anism-VivoBook-ASUSLaptop-X515EA-X515EA;6828;6828;14.81;18.52;62.96;27;0;3.7;0;0;0;0.14;0;0;
anism-VivoBook-ASUSLaptop-X515EA-X515EA;6816;_ALL;10.71;21.43;64.29;28;0;3.57;0;0;0;0.14;0;0;
anism-VivoBook-ASUSLaptop-X515EA-X515EA;6816;6816;10.71;21.43;64.29;28;0;3.57;0;0;0;0.14;0;0;
anism-VivoBook-ASUSLaptop-X515EA-X515EA;6804;_ALL;11.11;14.81;70.37;27;0;3.7;0;0;0;0.14;0;0;
anism-VivoBook-ASUSLaptop-X515EA-X515EA;6804;6804;11.11;14.81;70.37;27;0;3.7;0;0;0;0.14;0;0;
anism-VivoBook-ASUSLaptop-X515EA-X515EA;6794;_ALL;28.57;66.67;4.76;21;0;0;0;0;0;0.1;0;0;
anism-VivoBook-ASUSLaptop-X515EA-X515EA;6794;6794;28.57;66.67;4.76;21;0;0;0;0;0;0.1;0;0;
anism-VivoBook-ASUSLaptop-X515EA-X515EA;6829;_ALL;25;75;0;20;0;0;0;0;0;0.1;0;0;
anism-VivoBook-ASUSLaptop-X515EA-X515EA;6829;6829;25;75;0;20;0;0;0;0;0;0.1;0;0;
anism-VivoBook-ASUSLaptop-X515EA-X515EA;6817;_ALL;14.81;11.11;70.37;27;0;0;0;3.7;0;0.13;0;0;
anism-VivoBook-ASUSLaptop-X515EA-X515EA;6817;6817;14.81;11.11;70.37;27;0;0;0;3.7;0;0.13;0;0;
