function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;cats;
54;mca_btl_vader.so;mca_btl_vader_poll_handle_frag;;18.84;0.03;0.03;0.03;0.04;3.9645020961761;6;"0,100,0,0,0,0,0,0,0,0";
26;lbm;propagation;lbm_struct.h:116-116,lbm_phys.c:332-354;14.98;0.02;0;0.02;0.06;17.179889678955;8;"100,0,0,0,0,0,0,0,0,0";
25;lbm;collision;lbm_struct.h:116-116,lbm_phys.c:51-323;8.7;0.01;0;0.02;0.05;18.027311325073;6;"100,0,0,0,0,0,0,0,0,0";
1365;libc-2.31.so;_mcleanup;;7.73;0.01;0;0.01;0.02;3.6164741516113;8;"0,0,0,0,100,0,0,0,0,0";
99;mca_pml_ob1.so;mca_pml_ob1_recv_request_progress_match;;7.73;0.01;0;0.01;0.02;3.7536463737488;6;"0,100,0,0,0,0,0,0,0,0";
105;mca_pml_ob1.so;mca_pml_ob1_recv_req_start;;7.25;0.01;0;0.01;0.03;9.3447027206421;5;"0,100,0,0,0,0,0,0,0,0";
86;mca_pml_ob1.so;mca_pml_ob1_rdma_pipeline_btls;;6.76;0.01;0;0.01;0.02;5.6398367881775;6;"0,100,0,0,0,0,0,0,0,0";
11;ld-2.31.so;_dl_rtld_di_serinfo;;3.86;0.01;0;0.01;0.01;2.2356576919556;7;"0,0,0,0,100,0,0,0,0,0";
89;mca_pml_ob1.so;mca_pml_ob1_recv_frag_callback_match;;3.38;0.01;0;0.01;0.01;1.5597633123398;6;"0,100,0,0,0,0,0,0,0,0";
81;mca_pml_ob1.so;mca_pml_ob1_send;;2.42;0;0;0.01;0.01;1.7195771932602;4;"0,100,0,0,0,0,0,0,0,0";
78;mca_pml_ob1.so;mca_pml_ob1_mrecv;;1.93;0;0;0.01;0.01;0.17464998364449;4;"0,100,0,0,0,0,0,0,0,0";
76;mca_pml_ob1.so;mca_pml_ob1_recv;;1.45;0;0;0.01;0.01;2.618914604187;2;"0,100,0,0,0,0,0,0,0,0";
52;mca_pml_ob1.so;.plt.sec@start;;1.45;0;0;0.01;0.01;2.618914604187;2;"0,100,0,0,0,0,0,0,0,0";
-1;kernel;unknown_kernel_region;;1.45;0;0;0;0.01;0.7413712143898;3;"0,0,0,0,100,0,0,0,0,0";
45;lbm;lbm_comm_ghost_exchange;lbm_struct.h:116-126,lbm_comm.c:160-320;0.97;0;0;0;0.01;0.093532957136631;2;"100,0,0,0,0,0,0,0,0,0";
49;mca_btl_vader.so;.plt.sec@start;;0.97;0;0.01;0.01;0.01;0.26189175248146;2;"0,100,0,0,0,0,0,0,0,0";
1369;libc-2.31.so;_mcount;;0.97;0;0;0;0.01;0.84179443120956;2;"0,0,0,0,100,0,0,0,0,0";
1905;libc-2.31.so;__nss_database_lookup;;0.97;0;0;0;0.01;0.093531779944897;2;"0,0,0,0,0,0,0,0,0,100";
810;libmpi.so.40.20.3;MPI_Send;;0.97;0;0;0;0.01;0.093531779944897;2;"0,100,0,0,0,0,0,0,0,0";
121;libxml2.so.2.9.10;xmlParseEntityRef;;0.48;0;0.01;0.01;0.01;0;1;"0,0,0,0,0,0,0,0,0,100";
590;libc-2.31.so;__libc_realloc;;0.48;0;0;0;0;0;1;"0,0,0,0,0,0,0,0,100,0";
1870;libc-2.31.so;_dl_catch_exception;;0.48;0;0.01;0.01;0.01;0;1;"0,0,0,0,100,0,0,0,0,0";
19;ld-2.31.so;_dl_find_dso_for_object;;0.48;0;0.01;0.01;0.01;0;1;"0,0,0,0,100,0,0,0,0,0";
17;lbm;get_cell_velocity;lbm_phys.c:85-106;0.48;0;0.01;0.01;0.01;0;1;"100,0,0,0,0,0,0,0,0,0";
562;libopen-pal.so.40.20.3;opal_convertor_prepare_for_recv;;0.48;0;0.01;0.01;0.01;0;1;"0,100,0,0,0,0,0,0,0,0";
234;libopen-pal.so.40.20.3;opal_bitmap_is_clear;;0.48;0;0.01;0.01;0.01;0;1;"0,100,0,0,0,0,0,0,0,0";
29;lbm;setup_init_state_global_poiseuille_profile;lbm_init.c:67-94,lbm_struct.h:116-135;0.48;0;0.01;0.01;0.01;0;1;"100,0,0,0,0,0,0,0,0,0";
400;libmpi.so.40.20.3;ompi_message_finalize;;0.48;0;0;0;0;0;1;"0,100,0,0,0,0,0,0,0,0";
0;ld-2.31.so;Unknown function;;0.48;0;0;0;0;0;1;"0,0,0,0,100,0,0,0,0,0";
149;libpmix.so.2.2.25;.plt.sec@start;;0.48;0;0;0;0;0;1;"0,0,0,0,100,0,0,0,0,0";
563;libopen-pal.so.40.20.3;opal_convertor_prepare_for_send;;0.48;0;0.01;0.01;0.01;0;1;"0,100,0,0,0,0,0,0,0,0";
22;ld-2.31.so;_dl_exception_free;;0.48;0;0.01;0.01;0.01;0;1;"0,0,0,0,100,0,0,0,0,0";
683;libopen-pal.so.40.20.3;mca_base_var_group_add_var;;0.48;0;0;0;0;0;1;"0,100,0,0,0,0,0,0,0,0";
235;libopen-pal.so.40.20.3;opal_free_list_grow_st;;0.48;0;0;0;0;0;1;"0,100,0,0,0,0,0,0,0,0";
